episode,reward,portfolio_value
1,-13.02954325339931,102452.1884197674
2,-12.91358055322344,101546.19504866433
3,-12.94644762652144,106422.93651583279
4,-12.92322471956301,107043.73867458342
5,-12.952328060751155,103980.55318489927
6,-13.090120742080206,99586.07497926263
7,-13.080678489776972,103650.24021727053
8,-13.033149462778606,102800.02106529876
9,-12.97148368385864,103505.58111845238
10,-12.994522153063878,102711.6015767567
11,-13.00139058389194,106901.2698474168
12,-13.209099545030606,105532.95388018867
13,-13.00931785471007,108373.94836541686
14,-12.99668216300326,105432.78948253304
15,-12.914165822299035,105488.49687901276
16,-13.016189815732542,102607.13043658457
17,-13.04830506970587,108422.03902804539
18,-12.98844497746855,112059.13052792224
19,-12.941165117893789,100281.21941174721
20,-12.997268487075848,105983.63134111611
21,-13.05366933973946,108288.85029277382
22,-12.991655239246402,105521.12849198283
23,-13.013576537342754,105781.43317060273
24,-13.113373371792816,103910.51786433026
25,-12.956132025383647,105281.19076620215
26,-13.03012133253046,106865.04618439377
27,-13.022096454549946,102273.49829823742
28,-13.07193321921711,104064.52467269725
29,-12.973985474295667,105447.90181237744
30,-12.951613916846053,104957.84220942567
31,-13.043088242797863,104875.64314450684
32,-12.892086314389292,106658.15065210072
33,-12.973934637547329,107517.03211892692
34,-12.956745121960726,104572.32105838369
35,-12.989815984721231,104862.84600173538
36,-12.994274048582549,107163.69857434783
37,-13.127609214349503,105190.65359031575
38,-12.899931567646277,101053.97327601105
39,-12.93735129503654,106068.81302168277
40,-13.047646971370746,107045.28618023606
41,-12.974352745866032,105336.60518526142
42,-13.074341897390475,104237.0705558422
43,-12.985974063658853,104069.99094481357
44,-13.073665923708708,103234.64592461826
45,-12.997542654382366,105196.5769781676
46,-12.977362685631777,102415.26463569335
47,-12.977272519586966,105794.87917240005
48,-12.906204000322543,100708.80009775869
49,-12.977836328821999,101573.14922410903
50,-12.962491915934992,105453.61610374508
51,-12.974805179635766,107841.3524968057
52,-12.936323088704125,102460.52113152381
53,-13.094415214700321,109590.0840377162
